CHANNEL,ONHANDDATE,DITRIB,ITEMCODE,PRODUCTCODE1,QTY,VALUE,COST,SELLINGPRICE,WARE,SALESCHANNEL,BUSCHANNEL,PRODCHANNEL,STKTYPE,ITEMDESCRIPTION,COMBINEPACKING,EXPDATE
LSH,20250825,5052026,12183346,12183346,22,256.0433333333326,0,0,M,11,13,,,MAGGI Chef Secret,6x1kg,20260820
LSH,20250825,5052026,12199247,12199247,127,3958.59,0,0,M,11,13,,,NESPRAY Instant Softpack,6x1.8kg,20260820
LSH,20250825,5052026,12340523,12340523,6,355.8744,0,0,M,11,13,,,NESCAFE GOLD BLEND 360g,(200x1.8g),20260820
LSH,20250825,5052026,12380410,12380410,57,335.6349999998971,0,0,M,11,13,,,MAGGI Chicken Seasoning Powder (All Purpose),6x1kg,20260820
LSH,20250825,5052026,12496696,12496696,448,10637.760000002543,0,0,M,11,13,,,COFFEE MATE Stick Pack,2x(500x5g),20260820
LSH,20250825,5052026,12508061,12508061,441,1622.88,0,0,M,11,13,,,NESTLE Pink Lychee Lemonade Exp,12x200g,20260820
LSH,20250825,5052026,12528679,12528679,295,4567.58333331785,0,0,M,11,13,,,NESCAFE Excellente Whole Roasted Coffee Beans,12x500g,20260820
LSH,20250825,5052026,12461722,12461722,1290,1553.7956521739097,0,0,M,11,13,,,GERBER Apple Sauce,6x80g,20260820
LSH,20250825,5052026,12555619,12555619,47,224.85525233665,0,0,M,11,13,,,(OOS) NESTLE Pro Cucumber Lemonade Exp,12x200g,20260820
LSH,20250825,5052026,12568312,12568312,970,4104.994540136213,0,0,M,11,13,,,KIT KAT Bites Mix In,36x240g,20260820
LSH,20250825,5052026,44245755,44245755,2,231.58,0,0,M,11,13,,,COFFEE,MATE Creamer -30kg,20260820
LSH,20250825,5052026,12274607,12274607,179,1659.9382672755698,0,0,M,11,13,,,MILO 3in1 ACTIVGO HCS,12(30x27g),20260820
LSH,20250825,5052026,12523014,12523014,624,875.67792,0,0,M,11,13,,,STARBUCKS Doubleshot Esp Latte,24x220ml,20260820
LSH,20250825,5052026,7806062,7806062,467,1389.5117999999986,0,0,M,11,13,,,MAGGI Tomato Ketchup,12x1.5kg,20260820
